English sentence,Swahili Translation
The gold cup was given to the winner of the final match.,Kikombe cha dhahabu kilipewa mshindi wa mechi ya fainali.
Please accept this gift for the celebration on your wedding.,Tafadhali pokea zawadi hii ya kusherehekea harusi yako.
Patterns of married life are changing a lot.,Mifumo ya maisha ya ndoa inabadilika sana.
Health is an important factor of happiness.,Afya ni jambo muhimu kwa furaha.
I am not in the least afraid of dogs.,Mimi siko mmoja wa mbwa waoga.
"The dog, seeing me beyond his reach, began barking.","Mbwa, alipokosa kunifikia, alianza kubweka."
The dog sat down by the man.,Mbwa akaketi karibu na mtu.
Training conditions workers to react quickly to an emergency.,Mafunzo huwafanya wafanyakazi kukabiliana na dharura haraka.
Silk feels soft.,Silika inahisi laini.
We can not be too careful in operating a nuclear power plant.,Hatuwezi kuwa waangalifu sana katika kuendesha kiwanda cha nguvu za nyuklia.
We currently have 200 well organized sales offices all over Japan.,Hivi sasa tuna ofisi 200 za mauzo zenye utaratibu mzuri kote nchini Japan.
Private charity is only a drop in the bucket.,Msaada wa kibinafsi ni mdogo mno.
Thank you for setting the record straight.,Asante kwa kulainisha mambo.
The operator told me to hang up and wait for a moment.,Muendeshaji huyo aliniambia ni kate simu nisubiri kidogo.
The birds ate the bugs taking turns.,Ndege walikula mende wakiachiana.
We should draw the line between public and private affairs.,Tunapaswa kutofautisha kati ya mambo ya umma na ya kibinafsi.
The ad agency has a lot riding on this account.,Shirika lina hela nyingi kwenye akaunti hii.
Attack is the best form of defense.,Mashambulizi ni aina bora ya utetezi.
"To make matters worse, it began to rain heavily.","Ili kufanya mambo kuwa mabaya zaidi, ilianza kunyesha sana."
I was offered the choice of tea or coffee.,Nilipewa chaguo la chai au kahawa.
Try not to make random statements.,Jaribu usitoe kauli za kiholela.
Will you put a dot before the names of the successful students?,Utaweka alama ya kikomo kabla ya majina ya wanafunzi waliofanikiwa.
The torture made him confess to crimes he had not committed.,Mateso hayo yalimfanya akiri makosa ambayo hakufanya.
I congratulate you on your passing the state examination.,Ninakupongeza kwa kupita mtihani wa serikali.
The United Nations makes efforts to keep the earth in a state of peace.,Umoja wa Mataifa hufanya juhudi kuweka dunia katika hali ya amani.
I cast aside my chains.,Niliweka kando minyororo yangu.
I will side with you just this once.,Nitakubaliana nawe mara moja tu.
I will have been to New York twice this time.,Nitakuwa nimeenda New York mara mbili sasa.
"You've worked hard this morning, Simon.","Umefanya bidii asubuhi ya leo, Simon."
Did you see him at the station this morning?,Ulimwona kwenye kituo asubuhi ya leo?
I will have joined the ski tour five times when I join it again.,Nitakuwa nimejiunga na ski tour mara tanoi nikijiunga nao tena.
We are going to mount a hill near our school this Sunday.,Tutaweka kilima karibu na shule yetu Jumapili hii.
"Today, more and more people are changing jobs in order to get a better salary and higher social status.","Leo, watu zaidi na zaidi wanabadilisha kazi ili kupata mshahara bora na hadhi ya juu katika kijamii."
Nowadays there is a close relationship between foreign relations and domestic affairs.,Siku hizi kuna uhusiano wa karibu kati ya uhusiano wa nje na mambo ya ndani.
"Nowadays, there are still a few groups of people in different parts of the world who do not have permanent homes.","Siku hizi, bado kuna makundi machache ya watu katika sehemu tofauti ulimwenguni ambao hawana nyumba za kudumu."
"According to today's morning paper, the condemned criminal committed suicide.","Kutokana na gazeti la leo asubuhi, mhalifu aliyeshutumiwa alijiua."
Today the new leaf sent out a bud.,Leo janijipya limeota tawi.
I'm invited to Claudia's party tonight.,Nimealikwa kwenye sherehe ya Claudia itakayofanyika usiku.
"In a crowded train, I make it a rule to give my seat to old people.","Katika treni iliyojaa watu, ninaifanya kuwa sheria kutoa kiti changu kwa wazee."
The worst friend and enemy is but Death.,Rafiki na adui mbaya zaidi ni Kifo.
Recently the demand for this product has increased faster than the supply.,Majuzi mahitaji ya bidhaa hii yameongezeka haraka kuliko usambazaji.
Two books stand out among the dozens recently published on the Royal Family.,Vitabu viwili vimeibuka kati ya dazeni zilizochapishwa hivi karibuni kuhusu familia ya kifalme
Senior students have access to the library at weekends.,Wanafunzi wakubwa huenda maktabnia wikendi.
The attitude of the court toward young criminals is different from its attitude toward adult criminals.,Mtazamo wa mahakama kwa wahalifu wachanga ni tofauti na mtazamo wake kwa wahalifu watu wazima.
Yesterday I wrote to Ellen.,Jana nilimwandikie Ellen.
A farewell party was held in honor of Mr Jones yesterday.,Hafla ya kuaga ilifanyika kwa heshima ya Bwana Jones jana.
Profit on computers for the previous year was nearly ten percent higher than the current year.,Faida kwenye tarakilishi za mwaka uliopita zilikuwa karibu asilimia kumi kuliko mwaka huu.
Salmon go up the river and lay their eggs in the sand.,Salmoni huenda juu ya mto na kuweka mayai yao kwenye mchanga.
The murderer will soon confess his crime.,Muuaji hivi karibuni atakiri uhalifu wake.
"Unfortunately, the hotel that you suggested was completely booked up.","Kwa bahati mbaya, hoteli ambayo umependekeza imejaa."
Collect your thoughts before you begin your work.,Weka maoni yako pamoja kabla ya kuanza kazi yako.
The butler announced Mr. and Mrs. Smith.,Mhudumu alitangaza Bw. na Bi. Smith.
My sister works at the United States Embassy in London.,Dada yangu anafanya kazi katika Ubalozi wa Amerika huko London.
There are many doubts to a child.,Kuna mashaka mengi kuhusu mtoto.
I am never free from worries about my child.,Sikuwahi kamwe kutokuwa na wasiwasi kuhusu mwanagu.
The market drop has cleaned me out.,Kushuka kwa soko kumenifilisisha.
"I'm on the road a lot, and my clients are complaining that they can never reach me.","Niko barabarani sana, na wateja wangu wanalalamika kwamba hawawezi kunifikia."
The candidate whom I cast a vote for was elected.,Mgombeaji ambaye nilimpigia kura alichaguliwa.
They would never fuss about me if I were Fred Smith.,Hawangeweza kubishana juu yangu kama ningekuwa Fred Smith.
"Every time I call on you, you're out.","Kila wakati ninaku ita, uko nje."
We made for a pond at the foot of the hill.,Tulitengeneza bwawa chini ya kilima.
Our club activities are always spoiled by his behavior.,Mara zote shughuli za klabu yetu huharibiwa na tabia yake.
Those who buy this comic book in our store are mostly junior high school students.,Wale ambao hununua kitabu hiki cha ucheshi kwenye duka letu ni wanafunzi wa kiwango cha juu cha shule za upili.
We have been discussing minor matters; it's high time we began talking turkey.,Tumekuwa tukijadili masuala madogo; ni wakati muafaka kuanza kuzungumzia Uturuki.
We regard Dr. Brown as the best heart specialist in the United States.,Tunamwona Dkt. Brown kama mtaalamu bora zaidi wa moyo nchini Marekani.
We won the match.,Tulishinda mechi.
We have the exclusive right to sell them.,Tunayo haki ya kipekee ya kuziuza.
We hired a boat by the hour.,Tulikodesha mashua kwa saa moja.
We take part in Red Cross movement.,Tunashiriki katika harakati za Msalaba Mwekundu.
We chose her a nice birthday present.,Tulimchagulia zawadi nzuri ya kuzaliwa.
We elected her mayor.,Tulimchagua kuwa meya wetu.
We ate fresh fruit after dinner.,Tulikula matunda freshi baada ya chajio.
We adults shouldn't destroy the intelligent and creative capacity of children.,Sisi watu wazima hatupaswi kuharibu uwezo wa akili na ubunifu wa watoto.
Please let me know about it.,Tafadhali kufahamishe kuihusu.
My uncle is an amateur cricket player.,Mjomba wangu ni mchezaji wa kriketi asiye stadi.
"My train leaves at seven, arriving in Tokyo at nine.","Treni yangu inaondoka saa saba, kufika Tokyo saa tisa."
"To my knowledge, he has not been involved in the fraud scheme.","Kwa ufahamu wangu, hakuhusika katika mpango wa udanganyifu."
Our city has no water service yet.,Mji wetu bado hauna huduma ya maji.
"It's my special recipe, rabbit stew.","Ni mapishi yangu maalum, kitoweo cha sungura."
I insisted that we change our original plan.,Nilisisitiza tubadilishe mpango wetu wa hapo awali.
I may have hurt his feelings.,Ninaweza kuwa nimeumiza hisia zake.
I put my fingers in my ears to block out the terrible sounds.,Ninaweka vidole vyangu masikioni mwangu kuzuia kelele.
I wear size six gloves.,Ninavaa glavu saizi sita.
I came upon a rare stamp at that store.,Nilipata stempu adimu katika duka lile.
I imagined him a tall man.,Nilidhania kuwa yeye ni mrefu.
I was involved in a petty argument.,Nilihusika katika ubishi bure.
I have been living here for these ten years.,Nimeishi hapa kwa miaka hii kumi.
I paid twenty thousand yen for this hearing aid.,Nililipa yen elfu ishirini kwa kifaa hicho cha kusikia.
I need this.,Nahitaji hii.
I had the artist paint my portrait.,Mchoraji alitia rangi mchoro wa sura yangu.
I had the article accepted by a travel magazine.,Makala hayo yalikubaliwa na jarida la kusafiri.
I compromised with her on the point.,Wailisikilizana na yeye kwa hoja.
I bet five pounds on the horse.,Niliweka kamari ya pauni tano kuhusu farasi.
I saw the old gentleman cross the street and enter a store on the corner.,Nilimwona muungwana mzee akivuka barabara na kuingia dukani kwenye kona.
I know little or nothing about it.,Ninajua kidogo au kitu chochote juu yake.
I only happened to pass here just now.,Nimepitia hapa tu sasa hivi.
I worked with Mr Spencer for a year in New York.,Nilifanya kazi na Bw Spencer kwa mwaka mmoja huko New York.
I belong to the brass band.,Mimi ni mwana kikundi wa brasi bendi.
"Yesterday, I went to see Martha as I hadn't seen her for several months.","Jana, nilikwenda kumuona Martha kwani sikuwa nimemwona kwa miezi kadhaa."
I still have some money in hand.,Bado Nina kiasi fulani cha pesa.
I am studying very hard.,Najifunza kwa bidii.
I left home early so I'd be on time for the meeting.,Nilitoka nyumbani mapema ili nifike mkutanoni wakati unaofaa.
I was asked to buy some cakes on the way home from the office.,Niliagizwa kununua keki nikielekea nyumbani kutoka ofisini.
I am afraid of bears.,Naogopa vifaru.
I slipped and hurt myself while I was clearing the road of snow this morning.,Niliteleza nikajijeruhi wakati nilipokuwa naondoa theluji barabarani asubuhi ya leo.
I have a bicycle.,Nina baiskeli.
I had to see someone on business.,Nilifaa kumwona mtu kwa kibiashara.
I had hardly started to eat when I noticed that she was crying.,Ilikuwa vigumu kuanza nilipotambua kuwa alikuwa akilia.
I acted to protect myself from a similar destiny.,Nilitenda ili nijikinge na hatima kama hiyo.
I saw a horse pulling a cart.,Niliona farasi akivuta mkokoteni.
I know that he will be introduced to a lady by his uncle today.,Ninajua kuwa atatambulishwa kwa mwanamke na mjomba wake leo.
I am to have lunch with him.,Nafaa kula chakula cha mchana pamoja naye.
I reminded him of his interview with the president.,Nilimkumbusha kuhusu mahojiano yake na rais.
I cannot forgive him because he insulted me in public.,Siwezi kumsamehe kwa sababu alinitusi hadharani.
Tell him either to call on me or to ring me up.,Mwambie labda aniite au anipigie simu.
We named the dog Tim.,Tumpa mbwa jina la Tim.
We have learned much about survival from lower forms of animal life.,Tumejifunza mengi kuhusu kuishi kutoka kwa aina ya chini ya maisha ya wanyama.
We decided to cease financial support.,Tuliamua kusitisha msaada wa kifedha.
Private detectives were hired to look into the strange case.,Wapelelezi wa kibinafsi waliajiriwa ili kuchunguza kesi hiyo ya kustaajabisha.
I don't know how to operate a spinning wheel.,Sijui jinsi ya kuendesha gurudumu la kuruka.
At the games they were sold by men who kept them warm in hot-water tanks.,Kwenye michezo waliuzwa na wanaume waliowapa joto katika matangi ya maji moto.
Please ask the secretary to stock the office supplies in the storage room.,Tafadhali muombe katibu ahifadhi vifaa vya ofisi kwa stoo.
Better drop by his gallery if you have time.,Unaweza kuenda kwenye duka lake la ukiwa na muda.
My temper sometimes gets the better of me.,Wakati mwingine hasira zangu unisaidia.
The next stage was to enter a good arts school.,Hatua inayofuata ilikuwa kuingia shule nzuri ya sanaa.
The deer slept on a bed of leaves.,Kulungu alilala kwenye kitanda cha majani.
The fact is that I can't swim.,Kwa kweli siwezi kuogelea.
"Some say society should be corrected first, but that is to put the cart before the horse.","Wengine husema jamii irekebishwe kwanza, lakini hiyo ni kuweka mkokoteni mbele ya farasi."
Something must be wrong with our car; the engine is giving off smoke.,"Kuna kitu hakipo sawa na gari letu, injini inatoa moshi."
The younger generation looks at things differently.,Kizazi kipya huangalia mambo kwa njia tofauti.
There is a lack of communication between the young and the old.,Kuna ukosefu wa mawasiliano kati ya vijana na wazee.
It became popular among young people to wear hunting boots.,Ilikuja kuwa maarufu miongoni mwa vijana kuvaa buti za uwindaji.
Their sweet melody made young people feel free.,Nyimbo zao tamu ziliwafanya vijana wahisi huru.
The host cut the turkey for the guests.,Mwenyeji waliwachinjia wageni bata mzinga.
The chief engineer did research hand in hand with his assistant.,Mhandisi mkuu alifanya utafiti pamoja na msaidizi wake.
I'm up to my neck in work.,Nina shughuli nyingi kazini.
The Prime Minister's explanation of the scandal just wouldn't wash with the public.,Maelezo ya Waziri Mkuu juu ya kashfa hiyo hayajaridhisha umma.
